United States COVID-19 Deaths ED Visits and Positivity by State
Date generated: Sat Jun 01 2024 18:34:10 GMT-0700 (Pacific Daylight Time)
State/Territory,HHS Region,Percentage of deaths due to COVID-19 in past week,Percent change percentage of deaths due to COVID-19 in past week,Absolute change percentage of deaths due to COVID-19 in past week,Deaths in the Past 3 Months,Death Rate per 100000 for the Past 3 Months,Total Deaths,Total Death rate per 100000,Percent of ED visits diagnosed as COVID-19,Percent change in % of visits diagnosed as COVID-19 from last week compared to prior week,Test positivity (%) in past week,% Change in test positivity compared with prior week,Test positivity (%) in past 2 weeks,Test positivity (%) in past 4 weeks,Test volume in past week,Test volume in past 2 weeks,Test volume in past 4 weeks
Alabama,Region 4,Counts 1-9,N/A,N/A,127,2.1,23211,372.9,0.2%,16.2%,2.6,0.7,2,2.6,2998,9934,19389
Alaska,Region 10,0,N/A,N/A,15,Not Calculated (<20 deaths),1587,238.5,0.4%,73.8%,4.4,0.3,3.8,3.4,5379,10347,20902
American Samoa,N/A,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,Region 9,Counts 1-9,N/A,N/A,116,1.3,30651,335,0.8%,15.8%,9.5,0.8,8.5,6.4,2622,5410,12574
Arkansas,Region 6,0,N/A,N/A,83,2.2,13079,352.3,0.2%,-15.9%,4.8,1.4,3.4,3.1,6449,17780,38020
California,Region 9,Counts 1-9,N/A,N/A,457,1,113073,255.3,0.5%,5.4%,9.5,0.8,8.5,6.4,2622,5410,12574
Colorado,Region 8,Counts 1-9,N/A,N/A,74,1.3,15689,259.4,0.4%,-0.9%,3.9,1,2.8,2.9,1972,4535,8785
Connecticut,Region 1,0,N/A,N/A,62,1.3,12891,264.2,0.5%,0.1%,3.8,0.5,3.3,3.1,3364,7053,14545
Delaware,Region 3,0,N/A,N/A,37,2.7,3689,276.5,0.3%,-26.0%,3,0.2,2.4,2.5,1024,4045,9118
District of Columbia,Region 3,0,N/A,0,9,Not Calculated (<20 deaths),1949,293.1,0.3%,-9.2%,3,0.2,2.4,2.5,1024,4045,9118
Federated States of Micronesia,N/A,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
